,aux_train_acc,aux_train_loss,aux_val_acc,aux_val_loss,epoch,iter,train_acc,train_loss,val_acc,val_loss
0,,,,,0,0.0,0.558,0.7348211407661438,0.5409999999999999,0.7602602243423462
1,,,,,1,0.0,0.751,0.6238601803779602,0.72,0.6282749772071838
2,,,,,2,0.0,0.774,0.48212581872940063,0.764,0.5098168253898621
3,,,,,3,0.0,0.8069999999999999,0.4238600432872772,0.757,0.4934696853160858
4,,,,,4,0.0,0.834,0.38500484824180603,0.78,0.4669537842273712
5,,,,,5,0.0,0.843,0.3477737009525299,0.774,0.4514960050582886
6,,,,,6,0.0,0.87,0.31346845626831055,0.7969999999999999,0.43072378635406494
7,,,,,7,0.0,0.897,0.2851100265979767,0.802,0.41719314455986023
8,,,,,8,0.0,0.906,0.2591271996498108,0.792,0.422605961561203
9,,,,,9,0.0,0.914,0.22699898481369019,0.815,0.40884238481521606
10,,,,,10,0.0,0.9299999999999999,0.21260148286819458,0.8140000000000001,0.3973030745983124
11,,,,,11,0.0,0.9390000000000001,0.18654587864875793,0.808,0.4224145710468292
12,,,,,12,0.0,0.946,0.17946024239063263,0.817,0.40406277775764465
13,,,,,13,0.0,0.952,0.1568014770746231,0.8029999999999999,0.43559205532073975
14,,,,,14,0.0,0.97,0.1437816470861435,0.829,0.40235424041748047
15,,,,,15,0.0,0.964,0.12114164233207703,0.8240000000000001,0.4422404170036316
16,,,,,16,0.0,0.974,0.11315388977527618,0.8220000000000001,0.42266136407852173
17,,,,,17,0.0,0.979,0.1111857071518898,0.8220000000000001,0.4107573330402374
18,,,,,18,0.0,0.977,0.08509612083435059,0.815,0.47506240010261536
19,,,,,19,0.0,0.989,0.08142977952957153,0.823,0.4413226842880249
20,,,,,20,0.0,0.99,0.06850137561559677,0.819,0.45208877325057983
21,,,,,21,0.0,0.996,0.06290223449468613,0.8240000000000001,0.4705151617527008
22,,,,,22,0.0,0.996,0.06726918369531631,0.829,0.4243290424346924
23,,,,,23,0.0,0.996,0.055918022990226746,0.8280000000000001,0.49498146772384644
24,,,,,24,0.0,0.992,0.04189420863986015,0.829,0.551837146282196
25,,,,,25,0.0,0.995,0.04094233736395836,0.817,0.5462501645088196
26,,,,,26,0.0,0.997,0.034341346472501755,0.817,0.5547811388969421
27,,,,,27,0.0,0.989,0.04233076050877571,0.8260000000000001,0.5860180854797363
28,,,,,28,0.0,0.994,0.03553537279367447,0.842,0.5243573188781738
29,,,,,29,0.0,0.996,0.03705655038356781,0.829,0.5074477791786194
30,,,,,30,0.0,0.998,0.024479134008288383,0.825,0.5567495226860046
31,,,,,31,0.0,0.998,0.021999675780534744,0.823,0.5703395009040833
32,,,,,32,0.0,0.999,0.02557476982474327,0.823,0.5716630816459656
33,,,,,33,0.0,0.999,0.020679717883467674,0.8180000000000001,0.6183817982673645
34,,,,,34,0.0,0.998,0.0225842222571373,0.815,0.6807745695114136
35,,,,,35,0.0,0.996,0.034255679696798325,0.819,0.5527509450912476
36,,,,,36,0.0,0.999,0.027541548013687134,0.8220000000000001,0.551085889339447
37,,,,,37,0.0,0.999,0.0175668653100729,0.827,0.6014764904975891
38,,,,,38,0.0,0.998,0.01339112501591444,0.8220000000000001,0.6885057091712952
39,,,,,39,0.0,0.998,0.015499595552682877,0.8160000000000001,0.6847078800201416
40,,,,,40,0.0,0.999,0.012465118430554867,0.817,0.6838096380233765
41,,,,,41,0.0,0.999,0.017050422728061676,0.831,0.6348904371261597
42,,,,,42,0.0,1.0,0.01761319302022457,0.829,0.6194324493408203
43,,,,,43,0.0,1.0,0.012361807748675346,0.8220000000000001,0.6601901650428772
44,,,,,44,0.0,1.0,0.011157090775668621,0.815,0.6978837847709656
45,,,,,45,0.0,1.0,0.012952599674463272,0.8180000000000001,0.641503095626831
46,,,,,46,0.0,0.999,0.012783234007656574,0.815,0.7439876794815063
47,,,,,47,0.0,0.999,0.013181207701563835,0.815,0.7206979990005493
48,,,,,48,0.0,1.0,0.012766683474183083,0.819,0.7130041718482971
49,,,,,49,0.0,1.0,0.011449732817709446,0.827,0.7546844482421875
0,,,,,0,1.0,0.43200000000000005,0.748788058757782,0.42400000000000004,0.752615749835968
1,,,,,1,1.0,0.609,0.6596221923828125,0.606,0.6604056358337402
2,,,,,2,1.0,0.732,0.59144526720047,0.728,0.6010657548904419
3,,,,,3,1.0,0.781,0.4722396433353424,0.749,0.5108584761619568
4,,,,,4,1.0,0.812,0.463095486164093,0.772,0.50743168592453
5,,,,,5,1.0,0.841,0.40672987699508667,0.774,0.4678359031677246
6,,,,,6,1.0,0.866,0.3659900426864624,0.78,0.4508182406425476
7,,,,,7,1.0,0.866,0.32589486241340637,0.795,0.4217316508293152
8,,,,,8,1.0,0.892,0.30584070086479187,0.812,0.4024798274040222
9,,,,,9,1.0,0.903,0.27279019355773926,0.823,0.38638755679130554
10,,,,,10,1.0,0.917,0.23609688878059387,0.829,0.3839700222015381
11,,,,,11,1.0,0.925,0.22514663636684418,0.839,0.37635061144828796
12,,,,,12,1.0,0.945,0.1830114722251892,0.852,0.3661520183086395
13,,,,,13,1.0,0.962,0.14763347804546356,0.842,0.37926241755485535
14,,,,,14,1.0,0.96,0.13330218195915222,0.841,0.36329951882362366
15,,,,,15,1.0,0.966,0.13380292057991028,0.835,0.37154802680015564
16,,,,,16,1.0,0.979,0.12136808782815933,0.845,0.3621158301830292
17,,,,,17,1.0,0.981,0.08275590091943741,0.844,0.4047115445137024
18,,,,,18,1.0,0.98,0.09528392553329468,0.841,0.399781733751297
19,,,,,19,1.0,0.98,0.09684988856315613,0.856,0.37306907773017883
20,,,,,20,1.0,0.986,0.07107972353696823,0.851,0.40592336654663086
21,,,,,21,1.0,0.985,0.06736557185649872,0.85,0.40262871980667114
22,,,,,22,1.0,0.984,0.0679030567407608,0.836,0.4245418906211853
23,,,,,23,1.0,0.99,0.05720938742160797,0.852,0.39874032139778137
24,,,,,24,1.0,0.99,0.05633416399359703,0.839,0.4149569272994995
25,,,,,25,1.0,0.992,0.04083352908492088,0.863,0.43580180406570435
26,,,,,26,1.0,0.991,0.03796011582016945,0.859,0.46583589911460876
27,,,,,27,1.0,0.995,0.033158041536808014,0.853,0.4801810085773468
28,,,,,28,1.0,0.994,0.034966107457876205,0.851,0.5106427669525146
29,,,,,29,1.0,0.997,0.029845615848898888,0.845,0.4983863830566406
