,aux_train_acc,aux_train_loss,aux_val_acc,aux_val_loss,epoch,iter,train_acc,train_loss,val_acc,val_loss
0,,,,,0,0.0,0.548,0.7458516955375671,0.524,0.7645905017852783
1,,,,,1,0.0,0.595,0.6761419773101807,0.607,0.6739761233329773
2,,,,,2,0.0,0.792,0.595606803894043,0.758,0.6029143929481506
3,,,,,3,0.0,0.786,0.454687237739563,0.741,0.5062317848205566
4,,,,,4,0.0,0.848,0.3247030973434448,0.813,0.39617016911506653
5,,,,,5,0.0,0.78,0.4328286647796631,0.779,0.49143779277801514
6,,,,,6,0.0,0.921,0.2382957935333252,0.835,0.3474976122379303
7,,,,,7,0.0,0.895,0.2524696886539459,0.825,0.3836202025413513
8,,,,,8,0.0,0.868,0.27188003063201904,0.812,0.4377506971359253
9,,,,,9,0.0,0.974,0.1211685836315155,0.848,0.33068782091140747
10,,,,,10,0.0,0.91,0.21982213854789734,0.825,0.3817216455936432
11,,,,,11,0.0,0.982,0.0990278348326683,0.854,0.32605066895484924
12,,,,,12,0.0,0.991,0.057639770209789276,0.858,0.3576049506664276
13,,,,,13,0.0,0.998,0.026720291003584862,0.849,0.41092097759246826
14,,,,,14,0.0,0.999,0.01850525662302971,0.855,0.4367615580558777
15,,,,,15,0.0,0.984,0.050622329115867615,0.841,0.531502366065979
16,,,,,16,0.0,0.873,0.2750471830368042,0.793,0.7933274507522583
17,,,,,17,0.0,0.986,0.04599834606051445,0.846,0.42278340458869934
18,,,,,18,0.0,0.998,0.025097817182540894,0.857,0.3836679756641388
19,,,,,19,0.0,0.989,0.032681312412023544,0.843,0.49210336804389954
20,,,,,20,0.0,0.997,0.015026960521936417,0.861,0.5034542679786682
21,,,,,21,0.0,1.0,0.0065179187804460526,0.862,0.4969808757305145
22,,,,,22,0.0,0.971,0.0750860944390297,0.841,0.5922117829322815
23,,,,,23,0.0,0.996,0.015344270505011082,0.853,0.5037663578987122
24,,,,,24,0.0,0.861,0.3717792332172394,0.771,1.0028632879257202
25,,,,,25,0.0,0.993,0.03292251005768776,0.847,0.5339409112930298
26,,,,,26,0.0,0.999,0.011358588933944702,0.866,0.4380609691143036
27,,,,,27,0.0,0.989,0.03747379034757614,0.839,0.5321192741394043
28,,,,,28,0.0,0.957,0.11067327111959457,0.8,0.7732252478599548
29,,,,,29,0.0,0.91,0.2375079095363617,0.757,0.9908727407455444
30,,,,,30,0.0,0.884,0.2864380478858948,0.75,0.8650544285774231
31,,,,,31,0.0,0.791,0.5724867582321167,0.6910000000000001,1.293721079826355
32,,,,,32,0.0,0.953,0.16115355491638184,0.7969999999999999,0.5049343109130859
33,,,,,33,0.0,0.955,0.12258419394493103,0.845,0.3529869318008423
34,,,,,34,0.0,0.995,0.03924302011728287,0.852,0.3779509663581848
35,,,,,35,0.0,0.999,0.013097678311169147,0.863,0.4321773648262024
36,,,,,36,0.0,1.0,0.00624264357611537,0.871,0.45697763562202454
37,,,,,37,0.0,1.0,0.0027776574715971947,0.865,0.5031337738037109
38,,,,,38,0.0,1.0,0.001911901868879795,0.865,0.5460619330406189
39,,,,,39,0.0,1.0,0.0013051478890702128,0.868,0.5370032787322998
40,,,,,40,0.0,1.0,0.001028259634040296,0.868,0.5524770021438599
41,,,,,41,0.0,1.0,0.0008563430164940655,0.866,0.5724639892578125
42,,,,,42,0.0,1.0,0.0007387330406345427,0.866,0.580481767654419
43,,,,,43,0.0,1.0,0.0006513962871395051,0.867,0.5855008363723755
44,,,,,44,0.0,1.0,0.0005831561284139752,0.867,0.5932749509811401
45,,,,,45,0.0,1.0,0.0005272989510558546,0.867,0.6013214588165283
46,,,,,46,0.0,1.0,0.0004809548845514655,0.867,0.6077767014503479
47,,,,,47,0.0,1.0,0.0004415075818542391,0.868,0.6132140755653381
48,,,,,48,0.0,1.0,0.0004077687335666269,0.868,0.6186424493789673
49,,,,,49,0.0,1.0,0.0003781600098591298,0.868,0.624080240726471
0,,,,,0,1.0,0.473,0.6997390985488892,0.496,0.6977040767669678
1,,,,,1,1.0,0.5529999999999999,0.6729729771614075,0.55,0.6751793026924133
