,aux_train_acc,aux_train_loss,aux_val_acc,aux_val_loss,epoch,iter,train_acc,train_loss,val_acc,val_loss
0,,,,,0,0.0,0.495,0.6959905028343201,0.498,0.692700982093811
1,,,,,1,0.0,0.746,0.5522151589393616,0.7170000000000001,0.5690528750419617
2,,,,,2,0.0,0.773,0.4667791724205017,0.759,0.5072417855262756
3,,,,,3,0.0,0.849,0.33570370078086853,0.813,0.3964479863643646
4,,,,,4,0.0,0.9,0.2669752538204193,0.835,0.35298261046409607
5,,,,,5,0.0,0.918,0.2039666622877121,0.849,0.3123947083950043
6,,,,,6,0.0,0.947,0.1585777997970581,0.861,0.314608097076416
7,,,,,7,0.0,0.962,0.11650477349758148,0.858,0.31730273365974426
8,,,,,8,0.0,0.975,0.08076822757720947,0.858,0.3590100407600403
9,,,,,9,0.0,0.994,0.0380118191242218,0.864,0.35060206055641174
10,,,,,10,0.0,0.978,0.05281049758195877,0.858,0.44304966926574707
11,,,,,11,0.0,0.989,0.03447403013706207,0.867,0.4116687476634979
12,,,,,12,0.0,0.993,0.024813860654830933,0.859,0.45704570412635803
13,,,,,13,0.0,0.995,0.022875789552927017,0.85,0.4891471266746521
14,,,,,14,0.0,0.999,0.011481746099889278,0.859,0.4657866656780243
15,,,,,15,0.0,1.0,0.0032356157898902893,0.854,0.4609837532043457
16,,,,,16,0.0,1.0,0.002539126668125391,0.861,0.5065200328826904
17,,,,,17,0.0,1.0,0.0009737818036228418,0.868,0.5175970792770386
18,,,,,18,0.0,1.0,0.0005630967207252979,0.875,0.5258193016052246
19,,,,,19,0.0,1.0,0.0003935701388400048,0.87,0.5353021025657654
20,,,,,20,0.0,1.0,0.00030637840973213315,0.871,0.5431238412857056
21,,,,,21,0.0,1.0,0.00025335169630125165,0.871,0.5491602420806885
22,,,,,22,0.0,1.0,0.00021885802561882883,0.871,0.5541265606880188
23,,,,,23,0.0,1.0,0.00019413992413319647,0.873,0.5585376620292664
24,,,,,24,0.0,1.0,0.0001750781520968303,0.874,0.562516450881958
25,,,,,25,0.0,1.0,0.00015963742043823004,0.874,0.5661895871162415
26,,,,,26,0.0,1.0,0.00014674705744255334,0.874,0.5696038603782654
27,,,,,27,0.0,1.0,0.0001356727589154616,0.874,0.5728515982627869
28,,,,,28,0.0,1.0,0.00012600334594026208,0.874,0.5759501457214355
29,,,,,29,0.0,1.0,0.00011750852718250826,0.874,0.5789147615432739
30,,,,,30,0.0,1.0,0.00010998208017554134,0.874,0.5817264318466187
31,,,,,31,0.0,1.0,0.00010325683251721784,0.874,0.5844204425811768
32,,,,,32,0.0,1.0,9.720621164888144e-05,0.874,0.5870215892791748
33,,,,,33,0.0,1.0,9.172406862489879e-05,0.874,0.5895305275917053
34,,,,,34,0.0,1.0,8.665972563903779e-05,0.874,0.5919723510742188
35,,,,,35,0.0,1.0,8.192668610718101e-05,0.874,0.5943231582641602
36,,,,,36,0.0,1.0,7.756968989269808e-05,0.874,0.5965489745140076
37,,,,,37,0.0,1.0,7.356226706178859e-05,0.874,0.5987772345542908
38,,,,,38,0.0,1.0,6.970464892219752e-05,0.874,0.6009835600852966
39,,,,,39,0.0,1.0,6.607536488445476e-05,0.875,0.6031159162521362
40,,,,,40,0.0,1.0,6.250297883525491e-05,0.875,0.6050658822059631
41,,,,,41,0.0,1.0,5.915003566769883e-05,0.875,0.6067308187484741
42,,,,,42,0.0,1.0,5.5766766308806837e-05,0.876,0.6069084405899048
43,,,,,43,0.0,1.0,5.3092491725692526e-05,0.876,0.6111611723899841
44,,,,,44,0.0,1.0,4.960678415955044e-05,0.878,0.6108160018920898
45,,,,,45,0.0,1.0,4.7110770537983626e-05,0.876,0.6148635149002075
46,,,,,46,0.0,1.0,4.3802599975606427e-05,0.877,0.6165754795074463
47,,,,,47,0.0,1.0,4.138234362471849e-05,0.876,0.6195328235626221
48,,,,,48,0.0,1.0,3.912670581485145e-05,0.877,0.6221270561218262
49,,,,,49,0.0,1.0,3.6944198654964566e-05,0.877,0.6243155002593994
0,,,,,0,1.0,0.43899999999999995,0.7877682447433472,0.47,0.7617865204811096
1,,,,,1,1.0,0.762,0.5823585987091064,0.726,0.6004179120063782
2,,,,,2,1.0,0.846,0.35607799887657166,0.783,0.4353615641593933
3,,,,,3,1.0,0.901,0.26007360219955444,0.823,0.38339775800704956
4,,,,,4,1.0,0.9319999999999999,0.18861472606658936,0.832,0.372854620218277
5,,,,,5,1.0,0.957,0.1362585425376892,0.848,0.3979976177215576
6,,,,,6,1.0,0.982,0.0892602801322937,0.844,0.4065779149532318
7,,,,,7,1.0,0.972,0.08464949578046799,0.851,0.46557947993278503
8,,,,,8,1.0,0.978,0.06032320857048035,0.8240000000000001,0.5376386046409607
9,,,,,9,1.0,0.977,0.06490008533000946,0.817,0.6035773754119873
10,,,,,10,1.0,0.984,0.04623683914542198,0.839,0.6002843379974365
11,,,,,11,1.0,0.997,0.022537972778081894,0.845,0.6226255893707275
12,,,,,12,1.0,0.998,0.016540231183171272,0.827,0.7079483270645142
13,,,,,13,1.0,0.999,0.009836483746767044,0.849,0.7637683749198914
14,,,,,14,1.0,1.0,0.005137202795594931,0.837,0.8310150504112244
15,,,,,15,1.0,1.0,0.0020822235383093357,0.83,0.8871819972991943
16,,,,,16,1.0,1.0,0.0009877457050606608,0.835,0.9002920985221863
17,,,,,17,1.0,1.0,0.0006217408226802945,0.84,0.9153314828872681
18,,,,,18,1.0,1.0,0.0004196920490358025,0.839,0.9337351322174072
19,,,,,19,1.0,1.0,0.00032350540277548134,0.839,0.9509561657905579
20,,,,,20,1.0,1.0,0.0002716622257139534,0.843,0.9647395610809326
21,,,,,21,1.0,1.0,0.00023795223387423903,0.843,0.9754592180252075
22,,,,,22,1.0,1.0,0.00021285677212290466,0.843,0.9842427968978882
23,,,,,23,1.0,1.0,0.00019317293481435627,0.843,0.9918144941329956
24,,,,,24,1.0,1.0,0.00017710542306303978,0.843,0.9984940886497498
25,,,,,25,1.0,1.0,0.00016348266217391938,0.844,1.0047223567962646
