,aux_train_acc,aux_train_loss,aux_val_acc,aux_val_loss,epoch,iter,train_acc,train_loss,val_acc,val_loss
0,,,,,0,0.0,0.498,1.859321117401123,0.493,1.9267832040786743
1,,,,,1,0.0,0.644,0.9939983487129211,0.623,1.0605971813201904
2,,,,,2,0.0,0.794,0.46532484889030457,0.751,0.65032958984375
3,,,,,3,0.0,0.84,0.3290616571903229,0.768,0.5228805541992188
4,,,,,4,0.0,0.885,0.2698327302932739,0.776,0.537442684173584
5,,,,,5,0.0,0.87,0.2809287905693054,0.755,0.6539435982704163
6,,,,,6,0.0,0.943,0.1571592390537262,0.796,0.5183696746826172
7,,,,,7,0.0,0.962,0.12696155905723572,0.812,0.49792295694351196
8,,,,,8,0.0,0.98,0.08882194012403488,0.8180000000000001,0.5065100789070129
9,,,,,9,0.0,0.985,0.06582999974489212,0.815,0.5154419541358948
10,,,,,10,0.0,0.997,0.048364367336034775,0.823,0.5139183402061462
11,,,,,11,0.0,0.999,0.03541867434978485,0.8280000000000001,0.5383821129798889
12,,,,,12,0.0,0.999,0.02594299241900444,0.827,0.5575422048568726
13,,,,,13,0.0,0.999,0.019288048148155212,0.831,0.5674264430999756
14,,,,,14,0.0,1.0,0.014625081792473793,0.831,0.5849798321723938
15,,,,,15,0.0,1.0,0.011260551400482655,0.831,0.6060718894004822
16,,,,,16,0.0,1.0,0.008911089040338993,0.832,0.6219311356544495
17,,,,,17,0.0,1.0,0.007180048618465662,0.83,0.6332812905311584
18,,,,,18,0.0,1.0,0.005888818297535181,0.8280000000000001,0.6477445960044861
19,,,,,19,0.0,1.0,0.004916432313621044,0.829,0.6634255051612854
20,,,,,20,0.0,1.0,0.004102757200598717,0.832,0.6761469841003418
21,,,,,21,0.0,1.0,0.003438391722738743,0.833,0.6896014213562012
22,,,,,22,0.0,1.0,0.002916505094617605,0.834,0.7044146060943604
23,,,,,23,0.0,1.0,0.002496443223208189,0.838,0.7173938751220703
24,,,,,24,0.0,1.0,0.002156623871996999,0.838,0.7300247550010681
25,,,,,25,0.0,1.0,0.0018861498683691025,0.838,0.7420063614845276
26,,,,,26,0.0,1.0,0.0016672478523105383,0.839,0.753445565700531
27,,,,,27,0.0,1.0,0.0014884318225085735,0.838,0.7628433704376221
28,,,,,28,0.0,1.0,0.0013378583826124668,0.838,0.7722542881965637
29,,,,,29,0.0,1.0,0.001209908863529563,0.838,0.7798662781715393
30,,,,,30,0.0,1.0,0.001098957029171288,0.837,0.789622962474823
31,,,,,31,0.0,1.0,0.0010001608170568943,0.839,0.7987188100814819
32,,,,,32,0.0,1.0,0.000911337265279144,0.839,0.8070712089538574
33,,,,,33,0.0,1.0,0.0008298271568492055,0.839,0.8162454962730408
34,,,,,34,0.0,1.0,0.0007556445780210197,0.84,0.8262587189674377
35,,,,,35,0.0,1.0,0.0006849747733213007,0.841,0.8366684317588806
36,,,,,36,0.0,1.0,0.0006164101650938392,0.841,0.8494249582290649
37,,,,,37,0.0,1.0,0.0005471071344800293,0.837,0.8635269403457642
38,,,,,38,0.0,1.0,0.0004813150444533676,0.837,0.8797401785850525
39,,,,,39,0.0,1.0,0.000422599317971617,0.837,0.8942558765411377
40,,,,,40,0.0,1.0,0.0003730820317286998,0.836,0.9072691202163696
41,,,,,41,0.0,1.0,0.00032936251955106854,0.836,0.9199947118759155
42,,,,,42,0.0,1.0,0.00029207387706264853,0.836,0.9336555004119873
43,,,,,43,0.0,1.0,0.0002605201443657279,0.836,0.9472156167030334
44,,,,,44,0.0,1.0,0.0002335359458811581,0.836,0.9601983428001404
45,,,,,45,0.0,1.0,0.00021025999740231782,0.836,0.9720297455787659
46,,,,,46,0.0,1.0,0.00019028279348276556,0.836,0.9832063913345337
47,,,,,47,0.0,1.0,0.0001730403455439955,0.836,0.9941258430480957
48,,,,,48,0.0,1.0,0.0001579496602062136,0.837,1.0044366121292114
49,,,,,49,0.0,1.0,0.00014471779286395758,0.838,1.014095664024353
0,,,,,0,1.0,0.41100000000000003,2.2225985527038574,0.43200000000000005,2.0922203063964844
1,,,,,1,1.0,0.748,0.6241623163223267,0.714,0.6883481740951538
2,,,,,2,1.0,0.8140000000000001,0.42080792784690857,0.748,0.5927945375442505
3,,,,,3,1.0,0.899,0.26872414350509644,0.784,0.49902671575546265
4,,,,,4,1.0,0.923,0.2106953114271164,0.771,0.5039477944374084
5,,,,,5,1.0,0.937,0.17756040394306183,0.783,0.5148193836212158
6,,,,,6,1.0,0.949,0.13880415260791779,0.792,0.517827033996582
7,,,,,7,1.0,0.945,0.14502237737178802,0.782,0.5696840286254883
8,,,,,8,1.0,0.945,0.1402330994606018,0.784,0.6190976500511169
9,,,,,9,1.0,0.978,0.0715312734246254,0.815,0.5281820893287659
10,,,,,10,1.0,0.879,0.29510849714279175,0.765,0.8093956708908081
11,,,,,11,1.0,0.953,0.1307985782623291,0.8200000000000001,0.6147043704986572
12,,,,,12,1.0,0.943,0.1409028023481369,0.791,0.7390279173851013
13,,,,,13,1.0,0.987,0.04239976778626442,0.815,0.5550583600997925
